URL,Title,Result
http://www.hpra.ie/img/uploaded/swedocuments/c7a804a0-456a-4f7b-8a5a-7725de90ed37.pdf,Error,Error
http://www.hpra.ie/img/uploaded/swedocuments/Licence_PA22697-004-001_30042021114028.pdf,OK,OK
